Q9_1,Q9_2,Q9_3,HeadAcc,RawAX,RawAY,RawAZ,RawGX,RawGY,RawGZ,RawMX,RawMY,RawMZ,lon,lat,utc_datetime,ME
-0.76758,-0.56647,0.25926,297,-1926,-3992,-7056,41,-20,-41,-280,418,76,,,2024-06-27T20:48:02.010Z,M
-0.76716,-0.56690,0.25955,297,-2010,-3910,-7084,27,-36,-47,-283,426,76,,,2024-06-27T20:48:02.030Z,M
-0.76663,-0.56736,0.26029,297,-2130,-3906,-6996,33,-89,-41,-284,422,77,,,2024-06-27T20:48:02.050Z,M
-0.76534,-0.56821,0.2624,297,-2188,-3724,-6738,75,-98,-45,-281,417,75,,,2024-06-27T20:48:02.070Z,M
-0.76476,-0.56853,0.2632,297,-2054,-3696,-6670,92,-56,-50,-275,426,76,,,2024-06-27T20:48:02.090Z,M
-0.76407,-0.56897,0.26388,297,-2008,-3746,-6688,107,-37,-80,-285,426,69,,,2024-06-27T20:48:02.110Z,M
-0.76328,-0.56967,0.26419,297,-2048,-3832,-6762,92,-2,-118,-271,427,70,,,2024-06-27T20:48:02.130Z,M
-0.76244,-0.57053,0.26419,297,-2010,-3946,-6852,83,31,-136,-274,422,77,,,2024-06-27T20:48:02.150Z,M
-0.76181,-0.57122,0.26391,297,-2060,-4186,-6930,66,60,-127,-280,437,71,,,2024-06-27T20:48:02.170Z,M
-0.76145,-0.57135,0.26404,297,-2112,-4152,-6934,106,50,-53,-271,425,72,,,2024-06-27T20:48:02.190Z,M
-0.76066,-0.57132,0.26576,297,-2058,-4080,-7040,89,-61,-22,-267,426,74,,,2024-06-27T20:48:02.210Z,M
-0.76024,-0.57158,0.26643,297,-1948,-4002,-6888,51,-67,-26,-272,426,69,,,2024-06-27T20:48:02.230Z,M
-0.75959,-0.57200,0.2674,297,-1788,-3984,-6680,72,-87,-18,-290,402,101,,,2024-06-27T20:48:02.250Z,M
-0.7591,-0.57197,0.26854,297,-1850,-4028,-6676,136,-56,8,-297,411,93,,,2024-06-27T20:48:02.270Z,M
-0.75908,-0.57135,0.26948,297,-1858,-3966,-6764,153,-14,54,-281,425,67,,,2024-06-27T20:48:02.290Z,M
-0.75888,-0.57072,0.27099,297,-1808,-3868,-6828,189,-63,71,-281,414,90,,,2024-06-27T20:48:02.310Z,M
-0.75833,-0.57052,0.2727,297,-1732,-4016,-7110,171,-126,14,-267,431,69,,,2024-06-27T20:48:02.330Z,M
-0.75659,-0.57105,0.27629,297,-1932,-4126,-6862,137,-176,-53,-280,423,71,,,2024-06-27T20:48:02.350Z,M
-0.75561,-0.57147,0.27811,297,-1988,-4066,-6732,128,-177,-52,-275,423,66,,,2024-06-27T20:48:02.370Z,M
-0.75477,-0.57169,0.27999,297,-2018,-3994,-6612,127,-186,-33,-284,433,62,,,2024-06-27T20:48:02.390Z,M
-0.75372,-0.57216,0.28179,297,-2030,-4164,-6682,131,-178,-72,-281,430,62,,,2024-06-27T20:48:02.410Z,M
-0.7526,-0.57293,0.28314,297,-2140,-4172,-6718,101,-145,-113,-271,435,60,,,2024-06-27T20:48:02.430Z,M
-0.75151,-0.57368,0.28449,297,-2192,-4290,-6724,92,-146,-99,-283,431,74,,,2024-06-27T20:48:02.450Z,M
-0.75044,-0.57441,0.28592,297,-2258,-4366,-6696,86,-157,-89,-284,427,70,,,2024-06-27T20:48:02.470Z,M
-0.74847,-0.57553,0.28911,297,-2344,-4406,-6542,94,-171,-55,-280,426,74,,,2024-06-27T20:48:02.490Z,M
-0.74778,-0.57578,0.29048,297,-2234,-4394,-6512,81,-141,-31,-269,433,57,,,2024-06-27T20:48:02.510Z,M
-0.74711,-0.57609,0.29172,297,-2234,-4310,-6550,73,-128,-27,-280,421,71,,,2024-06-27T20:48:02.530Z,M
-0.74621,-0.57660,0.29321,297,-2350,-4282,-6550,74,-167,-52,-279,419,57,,,2024-06-27T20:48:02.550Z,M
-0.74523,-0.57707,0.29501,297,-2358,-4272,-6508,89,-200,-50,-278,434,69,,,2024-06-27T20:48:02.570Z,M
-0.74462,-0.57757,0.29565,297,-2626,-4586,-6018,18,-75,-61,-276,430,60,,,2024-06-27T20:48:02.590Z,M
-0.74377,-0.57776,0.29703,297,-2106,-4044,-6122,164,-87,-60,-263,433,70,,,2024-06-27T20:48:02.610Z,M
-0.743,-0.57802,0.29797,297,-2414,-4318,-6472,147,-36,-75,-272,426,64,,,2024-06-27T20:48:02.630Z,M
-0.74267,-0.57724,0.29957,297,-2556,-4582,-7010,122,-53,26,-280,437,54,,,2024-06-27T20:48:02.650Z,M
-0.74238,-0.57715,0.30079,297,-2408,-4524,-7044,49,-142,29,-276,427,52,,,2024-06-27T20:48:02.670Z,M
-0.74207,-0.57726,0.3019,297,-2402,-4384,-6692,2,-157,29,-274,430,65,,,2024-06-27T20:48:02.690Z,M
-0.74191,-0.57714,0.30302,297,-2228,-4188,-6284,11,-151,44,-280,439,54,,,2024-06-27T20:48:02.710Z,M
-0.74164,-0.57723,0.30379,297,-2180,-4166,-6136,16,-104,5,-281,433,57,,,2024-06-27T20:48:02.730Z,M
-0.74135,-0.57741,0.30413,297,-2120,-4220,-6142,31,-37,-25,-275,434,61,,,2024-06-27T20:48:02.750Z,M
-0.7409,-0.57774,0.30439,297,-2334,-4378,-6342,53,-14,-63,-274,438,60,,,2024-06-27T20:48:02.770Z,M
-0.74023,-0.57828,0.30489,297,-2564,-4568,-6810,10,-32,-31,-279,430,62,,,2024-06-27T20:48:02.790Z,M
-0.74006,-0.57856,0.30501,297,-2470,-4530,-6658,-25,-45,-16,-276,440,65,,,2024-06-27T20:48:02.810Z,M
-0.73985,-0.57897,0.305,297,-2378,-4256,-6434,-32,-32,-22,-272,423,64,,,2024-06-27T20:48:02.830Z,M
-0.73956,-0.57936,0.30506,297,-2234,-4174,-6320,-6,-29,-35,-279,427,60,,,2024-06-27T20:48:02.850Z,M
-0.73918,-0.57982,0.30519,297,-2316,-4298,-6310,1,-32,-51,-275,431,59,,,2024-06-27T20:48:02.870Z,M
-0.73893,-0.58005,0.30532,297,-2414,-4400,-6448,19,-14,-28,-276,427,60,,,2024-06-27T20:48:02.890Z,M
-0.73881,-0.58008,0.30562,297,-2504,-4518,-6602,19,-31,1,-283,426,54,,,2024-06-27T20:48:02.910Z,M
-0.73879,-0.58026,0.30565,297,-2508,-4498,-6472,-22,-16,-6,-278,434,54,,,2024-06-27T20:48:02.930Z,M
-0.73879,-0.58033,0.30565,297,-2426,-4414,-6368,-13,-12,3,-276,440,72,,,2024-06-27T20:48:02.950Z,M
-0.73887,-0.58033,0.30555,297,-2414,-4308,-6316,-10,5,9,-267,434,59,,,2024-06-27T20:48:02.970Z,M
-0.73896,-0.58026,0.30544,297,-2378,-4328,-6394,5,16,6,-280,437,59,,,2024-06-27T20:48:02.990Z,M
-0.73895,-0.58033,0.30535,297,-2304,-4264,-6492,8,9,-5,-269,435,67,,,2024-06-27T20:48:03.010Z,M
-0.73882,-0.58055,0.30498,297,-2242,-4142,-6352,22,52,-45,-279,430,57,,,2024-06-27T20:48:03.030Z,M
-0.73862,-0.58062,0.30508,297,-2302,-4284,-6476,63,21,-31,-271,435,65,,,2024-06-27T20:48:03.050Z,M
-0.73821,-0.58098,0.30511,297,-2418,-4384,-6684,8,30,-37,-274,430,62,,,2024-06-27T20:48:03.070Z,M
-0.73808,-0.58109,0.30524,297,-2362,-4588,-6596,12,-16,-8,-274,438,70,,,2024-06-27T20:48:03.090Z,M
-0.73784,-0.58140,0.30542,297,-2428,-4366,-6650,-8,-43,-23,-269,433,62,,,2024-06-27T20:48:03.110Z,M
-0.73753,-0.58168,0.30579,297,-2326,-4400,-6406,7,-60,-26,-287,430,55,,,2024-06-27T20:48:03.130Z,M
-0.73726,-0.58191,0.30586,297,-2224,-4194,-6230,34,2,-39,-278,434,66,,,2024-06-27T20:48:03.150Z,M
-0.73668,-0.58208,0.30671,297,-1932,-4202,-6686,111,-68,-49,-281,440,60,,,2024-06-27T20:48:03.170Z,M
-0.73581,-0.58268,0.30787,297,-2204,-4508,-7010,49,-161,-62,-276,433,62,,,2024-06-27T20:48:03.190Z,M
-0.73538,-0.58302,0.30868,297,-2294,-4430,-6710,-3,-132,-8,-280,431,64,,,2024-06-27T20:48:03.210Z,M
-0.73495,-0.58337,0.30879,297,-2362,-4100,-5838,71,107,-58,-275,429,74,,,2024-06-27T20:48:03.230Z,M
-0.73402,-0.58393,0.30992,297,-2568,-4420,-6700,85,-121,-85,-279,435,60,,,2024-06-27T20:48:03.250Z,M
-0.73322,-0.58467,0.31079,297,-2728,-4706,-6948,2,-145,-72,-271,435,60,,,2024-06-27T20:48:03.270Z,M
-0.73318,-0.58487,0.31081,297,-2734,-4720,-6596,-42,-34,-1,-283,434,61,,,2024-06-27T20:48:03.290Z,M
-0.73345,-0.58460,0.31108,297,-2566,-4634,-6366,-41,-57,70,-283,431,56,,,2024-06-27T20:48:03.310Z,M
-0.73378,-0.58425,0.31129,297,-2412,-4368,-6150,-24,-36,73,-279,435,62,,,2024-06-27T20:48:03.330Z,M
-0.73357,-0.58445,0.31173,297,-2318,-4342,-6098,-14,-71,16,-283,421,76,,,2024-06-27T20:48:03.350Z,M
-0.7329,-0.58511,0.31193,297,-2362,-4384,-6446,44,-14,-53,-271,440,60,,,2024-06-27T20:48:03.370Z,M
-0.733,-0.58499,0.31186,297,-2502,-4516,-6512,23,27,10,-288,434,66,,,2024-06-27T20:48:03.390Z,M
-0.7332,-0.58482,0.31163,297,-2456,-4498,-6464,8,41,26,-278,434,74,,,2024-06-27T20:48:03.410Z,M
-0.73327,-0.58484,0.31141,297,-2496,-4444,-6386,0,31,1,-276,433,65,,,2024-06-27T20:48:03.430Z,M
-0.73344,-0.58488,0.31093,297,-2612,-4460,-6380,-22,49,-5,-269,435,55,,,2024-06-27T20:48:03.450Z,M
-0.73364,-0.58483,0.31058,297,-2544,-4404,-6554,-13,39,13,-272,437,69,,,2024-06-27T20:48:03.470Z,M
-0.73394,-0.58476,0.31005,297,-2512,-4490,-6568,-32,47,11,-278,442,56,,,2024-06-27T20:48:03.490Z,M
-0.7344,-0.58474,0.30947,297,-2330,-4442,-6712,-55,-15,35,-271,430,65,,,2024-06-27T20:48:03.510Z,M
-0.7347,-0.58484,0.30899,297,-2282,-4438,-6596,-97,-10,41,-275,431,64,,,2024-06-27T20:48:03.530Z,M
