internal_timestamp,gps_timestamp,lon,lat
01/01/2000 07:34:40.13,29/06/2024 03:55:31,31.180136,-25.572546
01/01/2000 07:39:58.07,29/06/2024 04:00:17,31.180126,-25.572574
01/01/2000 07:44:44.09,29/06/2024 04:05:11,31.17999,-25.572525
01/01/2000 07:49:38.14,29/06/2024 04:10:13,31.180246,-25.572558
01/01/2000 07:54:40.12,29/06/2024 04:15:14,31.180089,-25.572579
01/01/2000 07:59:41.13,29/06/2024 04:20:31,31.180155,-25.57256
01/01/2000 08:04:58.14,29/06/2024 04:25:14,31.180131,-25.572591
01/01/2000 08:09:41.74,29/06/2024 04:30:05,31.179868,-25.572487
01/01/2000 00:00:21.03,29/06/2024 18:10:10,31.180189,-25.572713
01/01/2000 00:01:29.69,29/06/2024 18:15:43,31.180075,-25.572539
01/01/2000 00:07:02.19,29/06/2024 18:20:41,31.180163,-25.572689
01/01/2000 00:12:00.15,29/06/2024 18:25:41,31.180146,-25.572641
01/01/2000 00:17:00.21,29/06/2024 18:30:39,31.180053,-25.572627
01/01/2000 00:21:58.19,29/06/2024 18:35:41,31.180101,-25.572677
01/01/2000 00:27:00.20,29/06/2024 18:40:41,31.18008,-25.572613
01/01/2000 00:32:00.21,29/06/2024 18:45:41,31.18011,-25.572704
01/01/2000 00:37:00.23,29/06/2024 18:50:32,31.180187,-25.572697
01/01/2000 00:41:50.23,29/06/2024 18:55:59,31.180378,-25.572805
01/01/2000 00:47:17.22,29/06/2024 19:00:43,31.180228,-25.572532
01/01/2000 00:52:02.24,29/06/2024 19:05:17,31.180193,-25.57255
01/01/2000 00:56:35.25,29/06/2024 19:10:41,31.180129,-25.572623
01/01/2000 01:02:00.23,29/06/2024 19:15:41,31.180136,-25.572685
01/01/2000 01:07:00.24,29/06/2024 19:20:50,31.180029,-25.572631
01/01/2000 01:12:08.24,29/06/2024 19:25:44,31.180355,-25.572558
01/01/2000 01:17:03.25,29/06/2024 19:30:41,31.179996,-25.57266
01/01/2000 01:22:00.28,29/06/2024 19:35:32,31.180204,-25.572587
01/01/2000 01:26:50.28,29/06/2024 19:40:15,31.179967,-25.572633
01/01/2000 01:31:33.29,29/06/2024 19:45:22,31.180147,-25.572632
01/01/2000 01:36:40.71,29/06/2024 19:50:22,31.180082,-25.57257
01/01/2000 01:41:40.93,29/06/2024 19:55:14,31.180234,-25.572568
01/01/2000 01:46:32.28,29/06/2024 20:00:15,31.180127,-25.572599
01/01/2000 01:51:33.98,29/06/2024 20:05:13,31.179976,-25.572569
01/01/2000 01:56:31.29,29/06/2024 20:10:17,31.18014,-25.572623
01/01/2000 02:01:35.30,29/06/2024 20:15:12,31.180086,-25.572613
01/01/2000 02:06:30.81,29/06/2024 20:20:17,31.180224,-25.572619
01/01/2000 02:11:35.31,29/06/2024 20:25:12,31.180144,-25.572578
01/01/2000 02:16:30.32,29/06/2024 20:30:11,31.179973,-25.572595
01/01/2000 02:21:29.97,29/06/2024 20:35:14,31.180119,-25.572657
01/01/2000 02:26:32.30,29/06/2024 20:40:13,31.180108,-25.572543
01/01/2000 02:31:31.31,29/06/2024 20:45:32,31.180077,-25.572578
01/01/2000 02:36:50.33,29/06/2024 20:50:09,31.180094,-25.572599
01/01/2000 02:41:27.33,29/06/2024 20:55:17,31.180024,-25.5725
01/01/2000 02:46:35.34,29/06/2024 21:00:13,31.180157,-25.572635
01/01/2000 02:51:31.34,29/06/2024 21:05:22,31.17999,-25.572546
01/01/2000 02:56:40.35,29/06/2024 21:10:04,31.180168,-25.572625
01/01/2000 03:01:23.34,29/06/2024 21:15:21,31.180076,-25.572643
01/01/2000 03:06:39.37,29/06/2024 21:20:06,31.180077,-25.572609
01/01/2000 03:11:25.38,29/06/2024 21:25:19,31.180179,-25.572652
01/01/2000 03:16:37.34,29/06/2024 21:30:14,31.180049,-25.572636
01/01/2000 03:21:32.36,29/06/2024 21:35:12,31.180185,-25.572709
01/01/2000 03:26:30.88,29/06/2024 21:40:23,31.18006,-25.572676
01/01/2000 03:31:41.37,29/06/2024 21:45:15,31.180286,-25.572697
01/01/2000 03:36:33.40,29/06/2024 21:50:20,31.180312,-25.572563
01/01/2000 03:41:38.91,29/06/2024 21:55:06,31.179484,-25.572249
01/01/2000 03:46:25.00,29/06/2024 22:00:27,31.180055,-25.572603
01/01/2000 03:51:45.42,29/06/2024 22:05:14,31.180062,-25.572596
01/01/2000 03:56:32.95,29/06/2024 22:10:21,31.180021,-25.572534
